,smiles,value,mu
489,CC1CC11CCC1C,-0.2561,0.1157
490,CC1(C)N2CC1(C2)C#C,-0.2355,1.2570000000000001
491,COC1OC=NC1CO,-0.2533,3.2017
492,COCC12CC3C(C1)C23,-0.243,1.1765
493,C1C2CC11COCC21,-0.2414,1.6221
494,CC12CCC(O1)C1CC21,-0.2552,1.4499
495,OC12CC1NC(=O)CC2,-0.2331,3.784
496,CC12OC1C1(O)COC21,-0.2427,2.1919
497,C1CC2CC1COC=N2,-0.2374,2.2883
498,C1CC2(CC2)C=C1C#N,-0.2415,4.8847
499,CCc1cncn1C,-0.21100000000000002,3.9891
500,CCC(=O)CCOCC,-0.2446,1.5648
501,C(C=O)n1nc(nn1)N,-0.2408,2.3468
502,CC1NC1C(O)CO,-0.2412,3.2225
503,CC(O)C1(C)CC1(C)O,-0.243,1.4778
504,CCC(OC)C#N,-0.2858,3.3389
505,CCC1(CCOCC1)C,-0.2417,1.3284
506,c1c(nc(cn1)O)C#N,-0.2719,3.2333
507,CN1C(CO)C11CCC1,-0.2193,1.3564
508,CC1(C)CC1(C)C(N)=O,-0.2377,3.176
509,C1OCC23OC12C1NC31,-0.2438,3.0261
510,CCCCCC(C)OC,-0.2474,1.0484
511,CCC1(CCC1)C#CC,-0.2363,0.2071
512,CC1OC2C3CC(O3)C12,-0.2423,2.6479
513,CCC(CC)(CC#C)O,-0.2547,1.4825
514,N=COCC1C2COC12,-0.2492,4.3503
515,Cc1c(nc(o1)NC)O,-0.1787,2.1972
516,CCC(=O)COC(=O)N,-0.2478,1.8575
517,CC1(C=O)C2COC12,-0.2463,2.9004
518,CC1=NC(=N)OC=C1N,-0.2062,5.8639
519,O=CCC12CC1COC2,-0.2491,2.8710000000000004
520,OC1COC(=O)OC1=N,-0.2924,3.7355
521,C1OC2C3CC12N=CO3,-0.2377,2.5246
522,O=C1C2CCC(=O)C1O2,-0.2493,3.1617
523,CCc1ncc(o1)OC,-0.2134,2.6203
524,CNc1ccc(nc1)N,-0.1773,1.9867
525,Cn1ccc2c1CCO2,-0.1736,3.0641
526,CC1OC(C)C11CCO1,-0.2434,2.2269
527,OC1(CC2COC12)C#N,-0.2629,3.5135
528,Cc1cc(oc(=O)c1)N,-0.2029,5.4443
529,Cc1c(ocn1)C,-0.2264,1.8213
530,OC1CCN=C1NC=O,-0.2414,5.8904
531,NC=N[C-](C#N)C(N)=[NH2+],-0.1784,4.3666
532,CC1CCOCC11CN1,-0.2373,2.4614
533,CC12CN3C1C1OC1C23,-0.2302,0.6957
534,C#CC#CC#CC1CC1,-0.2228,2.0624
535,c1cnc(nc1)OC=O,-0.2724,5.4829
536,CC(=O)C#CCC#C,-0.2583,3.4241
537,C1CC1OCCNC=O,-0.2482,3.9167
538,CN1C(=N)C=CN=C1O,-0.2087,1.4413
539,c1c(coc1CO)C=O,-0.2399,2.5357
540,N#CC1=C2COC2CC1,-0.26,3.4135
541,O=C1C2CC1C2CC#C,-0.2461,2.8007
542,Cc1c(coc(=O)n1)N,-0.2247,6.8366
543,CC1=CC2OC2C1C#C,-0.2427,2.1207
544,CC1CC2(CN2)C(C)=C1,-0.2172,1.369
545,O=COC12CCC1OC2,-0.2622,3.1032
546,OC1C=CCOC2CC12,-0.2434,2.3787
547,CC1C(O)C2COC12C,-0.2446,1.4205
548,CCn1c(nnc1N)N,-0.2003,5.2039
549,CC(CC(O)C#N)=NO,-0.2553,3.1304
550,C1C2CC1C21C2CC1O2,-0.2327,1.8721
551,CCc1cnc(cn1)N,-0.2162,1.6137
552,CN(C)C(C=O)C#C,-0.233,2.6396
553,Cn1c(nc(n1)N)O,-0.2011,1.585
554,C(CC#N)C#CCCO,-0.2623,4.0719
555,CCC12CN3CC1(C)C23,-0.2147,1.9885
556,N#CC12CNC(CN1)C2,-0.2393,4.2397
557,C1CC1OC1CC2CC12,-0.2349,1.0592
558,CC12OC3(C)CC1C23C,-0.2182,1.68
559,NC(=O)C1CC1N1CC1,-0.2298,4.7951
560,NC1C(N)C1C#N,-0.2312,4.0978
561,N#CCC12CC=CC1N2,-0.2445,4.4761
562,OC12CC1(O)C1(CO1)C2,-0.2277,2.4323
563,C1CC2=CCOC=NC12,-0.2341,1.7756
564,NC(CCCO)C#N,-0.263,4.6423
565,O=C1CC23CC(CC2)C13,-0.2396,2.7933
566,CCC1CC1COC=O,-0.2732,4.4344
567,OC1CN2CC2C11CC1,-0.21899999999999997,1.4874
568,NC(CNCCO)C#N,-0.2597,3.3508
569,COC(=O)C12CCC1N2,-0.2598,3.1487
570,O=C1C(CC11CN1)C#N,-0.2698,5.0454
571,OC1C2C=CCN2C1=N,-0.2362,2.5404
572,N#CCNCC1CN1,-0.2539,4.7161
573,O=CC1NC2C(C#N)C12,-0.2519,5.9379
574,CCCN1C=CCC1=O,-0.2071,3.0958
575,N=C1NC(CO1)C#N,-0.2557,3.6249
576,Cc1ccc([nH]1)C(=O)C,-0.2138,2.3398
577,CC1OC2CC3(O)C2C13,-0.2346,1.6056
578,CC1CC1(C#N)N1CC1,-0.2564,2.8272
579,C#CCNCC(F)(F)F,-0.25,2.4692
580,CC1CC(=O)C2COC12,-0.2402,1.7895
581,N=C1CCN1C(=O)C#C,-0.26,1.0012
582,OC1C2C(N2C=O)C1=O,-0.2581,2.548
583,N=C1NC(=N)C2OC12,-0.2553,2.5689
584,CC1CC11CN2CC12C,-0.21899999999999997,1.7023
585,C1C2OC3C=CC2OC13,-0.2267,0.1885
586,OC1C2C3CCC1C23,-0.2494,1.7347
587,CC1N(C)C(=O)C1(C)C,-0.2349,3.5855
588,c1c(c(c[nH]1)N)CC#N,-0.1906,4.622
589,CCC1(C)C2CC1C2,-0.27899999999999997,0.1384
590,COC1=NCC(C)N1C,-0.1978,1.6621
591,CC12CC=CCCC1O2,-0.2369,1.6575
592,CC(CC#C)C=O,-0.252,2.2671
593,CC1C2CC3N1C3(C)C2,-0.2307,1.4577
594,C1C2C1C1CCC2CO1,-0.2373,1.5211
595,CC(OC(=N)C#C)C#C,-0.2649,0.9678
596,OCC1C2CC2C1O,-0.2414,2.2051
597,COC(=O)c1ccoc1,-0.2409,1.4754
598,Cn1cc2c(n1)CCC2,-0.2189,1.9103
599,OCCC1(CO1)C1CN1,-0.2441,2.9645
600,CCCC(C)NC(N)=O,-0.2411,3.339
601,CCn1cc(nc1)OC,-0.1905,2.9473
602,N=C1CC2=C(N1)C=CO2,-0.19399999999999998,2.8097
603,C[NH+](C)C1CC1C([O-])=O,-0.2485,6.0348
604,CC#CC12CN1CC2=O,-0.2368,2.0579
605,CC1CCC=CC(C)C1,-0.2334,0.2678
606,CCCc1ccc(o1)N,-0.1764,1.4558
607,CC1(O)CCC1=O,-0.2472,2.0822
608,CC1C2COC1CCC2,-0.2381,1.5197
609,OCC(=O)OC(=N)C=O,-0.285,2.1205
610,CC1OCC11COC1=O,-0.2642,3.3941
611,CC(O)C1C(CO)N1C,-0.2253,1.2121
612,CN=C(CO)NCC#N,-0.2349,3.8667
613,CC1=C(C[NH3+])OC([O-])=C1,-0.245,3.2915
614,CC1C2CC1C2CC=O,-0.2472,2.6834
615,O=C1NCCC1N1CC1,-0.2344,3.0612
616,CC(C#N)C(O)C=O,-0.2955,3.9739999999999998
617,OCCOC1COC1=N,-0.2635,1.7039
618,OC12CC3CC(C1)C23O,-0.2252,1.939
619,CC12C=CC3C(N13)C2=O,-0.2227,2.5839
620,OCC1CC1(O)CO,-0.2579,1.7184
621,OC1C2COC(=O)OC12,-0.2763,4.322
622,c1c(cc(=O)[nH]c1N)N,-0.1871,5.7812
623,CC12CC1C1C(C#N)N21,-0.2394,3.6789
624,CCC(C#N)C(C)=O,-0.2674,2.101
625,CC1NC11C2CC2C1=O,-0.2435,2.6175
626,OCC1C2CCOC12,-0.2444,2.9258
627,CC12CC3CC1C23C=O,-0.2397,2.9514
628,CCC1(NC1C)C=O,-0.2554,2.2389
629,c1c2c(no1)C=CCO2,-0.2253,3.4581
630,OC12CC3C1N3CCC2,-0.2247,2.1534
631,O=CC12NC1CC1NC21,-0.2373,3.5834
632,O=C1CNC1CCC#N,-0.2606,5.3154
633,OC(C#C)C(=O)C=O,-0.2665,1.4103
634,C1C2C1C1C3C=CC1C23,-0.2171,0.3363
635,COc1c(onn1)N,-0.2047,4.0974
636,CC1OC(C)C1(C)C,-0.2376,1.5935
637,CC(CC#N)C(O)CO,-0.271,2.6238
638,CC1C2CN1CCO2,-0.2088,0.2132
639,N#CC1CC=CCCO1,-0.2521,3.3812
640,ON=C1CCC11CCO1,-0.2421,1.6673
641,OCC12C3CCC1OC23,-0.2267,1.6502
642,CCC(C)N1C=NN=N1,-0.2773,6.1807
643,C#CC(CC#N)N1CC1,-0.254,4.9237
644,N=C1OC2C1CCC2=O,-0.2506,1.8143
645,Cn1ccc(=O)nn1,-0.2308,7.2139999999999995
646,C1CN1CCNCC#N,-0.2421,4.1877
647,CC(CC#C)OCC=O,-0.2555,2.9739
648,CC1(CO)COCCO1,-0.2417,1.6377
649,CN1C=NC(=N)C=C1O,-0.1981,5.8924
650,C1CC2(CC3NC3C2)O1,-0.2364,1.6578
651,C(COC(=O)C(=O)N)O,-0.2562,2.5669
652,C#CC12CCC(CC1)O2,-0.2541,1.6922
653,CC1=CCOC1(C)C#N,-0.2565,4.3647
654,CCC1(C)OC2(C)CC12,-0.2266,1.4263
655,COCC(C)CC(C)=O,-0.2445,3.3781
656,OCC1CC2CCC2=C1,-0.2204,1.5256
657,C1CC11CC2CC1O2,-0.2411,1.6408
658,c1c(c(c(nn1)F)N)O,-0.2309,5.4218
659,C#CC12C3C=CC1CN23,-0.2324,1.617
660,CC(=O)N1CC(C1)(C)O,-0.2331,3.819
661,OC12CC1(O)CCCC2,-0.228,2.3566
662,CC1CC2(C)CC2C1C,-0.2491,0.2759
663,CC(O)C(C)(C)OC=O,-0.2672,3.742
664,CC1=C(F)C=NNC1=N,-0.2155,1.254
665,CCC1(N)C(N)C1C#N,-0.2331,3.3783
666,O=CC12NCC1C2C#N,-0.2487,4.7856
667,N=COC(C#C)C#C,-0.2724,3.3339
668,C(CO)C(=O)C#CC=O,-0.2791,2.824
669,CC(=O)Nc1ccoc1,-0.2093,3.9459
670,C#CC1COC11CC1,-0.2331,1.1651
671,C#CC#CCC(=O)N,-0.2411,4.0564
672,CC1CCC11OCC=C1,-0.2234,1.2891
673,COCC1NC(=O)C1C,-0.2438,3.9742
674,COC(CO)C(=O)C#C,-0.258,2.0672
675,C#CCC1(CC1)C2CC2,-0.2469,0.5655
676,CC12CN=COCC1O2,-0.2427,3.0583
677,N=C1C=NN(C=O)N=C1,-0.2536,3.3108
678,CN1CC2NC2C1=O,-0.2321,4.0554
679,COC12CC(C=C1)C2O,-0.2395,2.4757
680,CC1=C(CC2CC12)C#C,-0.2089,1.0090000000000001
681,CC1COCC1CC#N,-0.2583,4.5702
682,OC12CC3CCC1CC23,-0.2448,1.3673
683,c1cn2c(n1)ncnn2,-0.2567,1.881
684,CCCC1OCOC1C,-0.2495,1.2038
685,CC1(CC2CC1O2)C=O,-0.2485,1.8796
686,CCC(=O)OC(C)C,-0.2641,1.7317
687,CC1(C)OC2C1CC2=O,-0.2315,3.7864
688,NC1=CC(=O)C2(CN2)C1,-0.2261,5.5684
689,OC1C2CC3CC1C2O3,-0.2449,1.8741
690,c1c2n(cn1)C=CC2=O,-0.2542,4.04
691,COc1ccc([nH]1)C=O,-0.2046,5.6832
692,OC1CCC1C#CC#C,-0.2439,1.3589
693,CC1(C(N1C)(C)C)C,-0.2103,1.1175
694,CCCC12CC1CO2,-0.2283,1.4816
695,CC(=O)C(=N)NCC=O,-0.2462,1.6880000000000002
696,CC1C2COC1CCC2,-0.2381,1.5197
697,CC(C)OCC(O)C#N,-0.27,3.8512
698,CC(=N)OC1COC1,-0.2463,2.8654
699,CC1=C(C#N)C2OC2C1,-0.2575,4.8653
700,CC1(C)N2C(=O)CC12C,-0.2389,4.1944
701,CC1CC11CCC(C)=C1,-0.2074,0.2194
702,CC1CC2(C)NC12C#N,-0.2445,3.6179
703,CC(C)C1CN1C(C)=O,-0.24,3.2372
704,CCC(O)C1(C)NC1C,-0.2375,2.1328
705,CC12CC1CC2(N)C#N,-0.2515,4.2961
706,CC(C)(C)N=CNC=O,-0.2499,1.9952
707,CC1=NC(=N)C(F)=CO1,-0.2382,4.285
708,CC1(C)N2CCC12C#N,-0.2511,4.5965
709,C1C2(CN1)C(=O)OCO2,-0.2375,3.8383
710,COCC12CN1C(=O)C2,-0.2478,3.3836
711,CC12CC1(O)C(O)CO2,-0.2183,0.8148
712,CC1(CC1O)OCC#N,-0.2593,2.1795
713,CC1C2N(CC12O)C=O,-0.2315,4.2288
714,COCCC(C)CC#C,-0.2532,1.0804
715,CC12CC(C1)C21CCC1,-0.2703,0.1946
716,COC1C2OCC12C,-0.2232,1.5508
717,N1C2C1C1OC3C(O1)C23,-0.2295,2.1453
718,CCC1C2CN1C2C#C,-0.2293,1.6413
719,OC1=C(F)C(=N)OC=N1,-0.2241,4.0869
720,CCNC(=O)NC=NC,-0.2359,2.8746
721,C1C2OC2C2=C1OC=N2,-0.2344,2.5391
722,Cn1c(nc(n1)N)N,-0.193,3.0786
723,CCCCN(C)C(=O)C,-0.2301,3.3876
724,CCc1[nH]ccc(=O)n1,-0.2263,7.2928
725,CCC(=O)NCCC=O,-0.247,3.7207
726,OCC1C2C=CC1C2O,-0.2293,2.2523
727,CNC(=[NH2+])C#CC([O-])=O,-0.2015,15.7708
728,OC1COC1CC1CC1,-0.2409,2.3986
729,CNC(=O)C(OC)C#N,-0.26,5.4533
730,COC=NC1COC1=N,-0.25,1.0514
731,CC1COC2CC2CO1,-0.2286,0.3238
732,Cc1cnn(c1)CCO,-0.2275,1.0383
733,C1CC2OC1OCC=C2,-0.2398,2.3301
734,CCC1C(O)C(O)C1O,-0.2422,3.3697
735,CC1(CCC11CN1)C#C,-0.2394,1.5047
736,CC(=O)C1C2OCC12C,-0.2283,3.5832
737,C1CCC(C1)(C=O)O,-0.2644,2.3884
738,CC1COC(CO)CO1,-0.2407,1.7691
739,OC1C2OC1(C)C21CC1,-0.2446,1.8678
740,CC1(O)C(O)COC1=N,-0.2675,1.3475
741,Cc1conc1COC,-0.251,3.0227
742,COC1(CC1)C1(C)CN1,-0.233,2.1369
743,C1OC1C1=NON=C1,-0.2918,3.1552
744,c1ncn2c(n1)ncn2,-0.2759,2.0187
745,CC1(CC(CO)O1)C=O,-0.2477,2.0543
746,CCc1c(cnn1C)N,-0.193,2.1688
747,CCN1CC1(C)CC#C,-0.226,1.1534
748,OC12C3OC1C1CC3C21,-0.2389,0.4072
749,CC(=O)N(C=N)C(=O)C,-0.2672,1.98
750,CC12CC(O1)C2C(N)=O,-0.2359,2.8882
751,CCCOC=NCC=O,-0.2404,4.3580000000000005
752,c1c(nc(=O)on1)C#N,-0.307,3.0226
753,C1NC11CNC11COC1,-0.2332,0.7649
754,CC1=CCOC1(C)C,-0.2239,1.5998
755,C1CC1C12CC1CCC2,-0.23600000000000002,0.1276
756,CC1CC2=NC=C(O)N12,-0.1926,2.9819999999999998
757,CNC(=O)C12CC1CC2,-0.2388,3.3377
758,CN1C(=N)ON=C1C#C,-0.2258,3.8321
759,CC(O)C1=COC=C1O,-0.2137,1.2447
760,C1C2CC3CCC2C1O3,-0.2291,1.4521
761,Cc1nccc(n1)OC,-0.2475,1.5786
762,CC1C(C#C)C2CC12O,-0.2503,1.1687
763,CCC1(O)CCCC=C1,-0.2463,1.6159999999999999
764,CC(OC=O)C1CCC1,-0.2727,4.176
765,CC12CC1C1(CN21)C#N,-0.2441,4.699
766,COCC1OCC1(C)O,-0.2466,2.3311
767,CC1C2COCC2C1=O,-0.2363,3.0659
768,C1CC#CCOCC=C1,-0.2313,1.3397
769,ON=C1C2NC3C2NC13,-0.2244,1.5198
770,N#CC1C2CC3(CC3)N12,-0.2532,3.1454
771,N#CC1CC2CCC2O1,-0.271,3.9501
772,CC(=O)C(=O)C1CO1,-0.245,0.3966
773,CC(O)C(C)COC=O,-0.2725,5.2771
774,NC(C[NH3+])C([O-])=O,-0.2468,4.6037
775,OC1(CC1C1CN1)C#C,-0.2332,2.1894
776,O=CC12CC(O1)C1NC21,-0.2394,3.2024
777,C1C(CO1)(C(=O)C#N)O,-0.2753,1.6565
778,CCN1CC(=O)C2CC12,-0.2163,3.2376
779,CC(C)NC(=O)C#C,-0.2557,3.6435
780,CC1(O)C(CO)NC1=O,-0.2411,3.3862
781,OC(C#C)C12CCC1N2,-0.2602,2.9008
782,CC(O)(C#N)C#CC#N,-0.3129,3.1987
783,O=CNC12CC1CC2=O,-0.245,1.1475
784,C1CC2N=COC2C=C1,-0.2449,1.89
785,C1OC11CC2CCC=C12,-0.2329,1.9931
786,CC1C2(O)COC12C#C,-0.2206,2.6988
787,CN=C1N=CNC(O)=N1,-0.2169,5.2158
788,CC#CCC(O)C#C,-0.2444,1.1489
789,CC(C)C1=CC2CC2C1,-0.2156,0.2194
790,C#CC1(CN(C1)C=O)O,-0.2457,4.915
791,C1CC1C(=O)CCC=O,-0.2504,3.8481
792,CCN=C1C=CCCO1,-0.2339,2.9972
793,C1C2C1C13CC21CCC3,-0.1893,0.4553
794,CCC1=CC(=O)NCC1,-0.2344,4.4812
795,OC1(COC1)C1CN1,-0.243,2.1738
796,OCC12CC1CC=CC2,-0.2334,1.4909999999999999
797,O=C1CCC2(CN2)CO1,-0.2581,4.04
798,CC#Cc1cnoc1,-0.2349,3.4568
799,Cc1ccoc1CC=O,-0.2189,2.2484
800,C1CC11CC=CC11CO1,-0.2377,1.8611
801,Cc1c[nH]cc1OC=O,-0.2197,5.354
802,CC1(C#N)C(O)C1O,-0.2584,4.6864
803,CC1C(=O)NC2CC12C,-0.2357,3.5447
804,N=C(C=O)N1CCC1=O,-0.2652,4.9131
805,NC(=NCC1CO1)C#N,-0.2539,5.3612
806,CCC(CC)C1(CC1)O,-0.2351,1.3798
807,CC12NC1C1CC2(O)C1,-0.21899999999999997,1.3751
808,CC1OC1C#CCC=O,-0.2535,2.2123
809,CC#CC(=O)NC(=O)N,-0.2527,6.8381
810,N=C1OCOCC2NC12,-0.2544,2.9545
811,CC(C)NC(=O)N(C)C,-0.2255,3.4871
812,CC1C2C3CC1CC23,-0.2583,0.0458
813,CC1N=C(C)OC1C#N,-0.2679,3.0536
814,CC12OC1CC(=O)C=C2,-0.2449,3.8244
815,NC(=O)NCC1CC1O,-0.2178,5.2971
816,CN1CC(C=O)C1CO,-0.2243,3.2258
817,CCC1COCCOC1,-0.2422,1.6753
818,CC12CC3(C1)OC=NC23,-0.2519,1.7117
819,O=C1NN=NC=C1,-0.2632,1.0953
820,CCCOC1OCC=C1,-0.251,0.7851
821,CCC1C(C)C(=O)C1O,-0.2475,2.2266
822,CCC1C(C)C1C=O,-0.2407,3.4543
823,Cc1c(cnc(n1)C)F,-0.2468,0.9311
824,CC(=O)C1CCCC1O,-0.2484,3.281
825,N=COC1C2NC1C=C2,-0.23399999999999999,4.2778
826,C#CC1C2OC2C2CN12,-0.2321,1.3274
827,CC#CC1CC=CC1,-0.2386,0.166
828,CCC12COC1CC2C,-0.2366,1.9515
829,Cc1cc(ccn1)C=O,-0.2612,2.0932
830,CC1OCC2CCC12O,-0.2455,1.1492
831,COC1(CO)CC(C)C1,-0.2477,2.0399
832,c1c(c([nH]n1)C(=O)N)N,-0.2035,1.5796
833,N=C1NC23CCC2OC13,-0.2286,4.1272
834,CC1N(C)C2(C)CC12O,-0.1967,1.8381
835,OCC1C(=O)COC1=O,-0.2695,2.4414
836,OCC#CC1CC(=N)O1,-0.2616,3.9445
837,N=C1OCC2CC1C=C2,-0.2468,3.2808
838,CCC12C(C)C1C1CC21,-0.1997,0.2844
839,Cc1coc(n1)N2CC2,-0.2105,1.4044
840,CN=CNc1c[nH]nc1,-0.1948,4.255
841,c1c(c(=O)nc(o1)N)N,-0.2105,5.0855
842,OC1COCC1OC=O,-0.265,2.5036
843,CC1C=CC(=O)N2CC12,-0.242,4.5565
844,CC12C3C1C1(C)C3C21C,-0.2071,0.29600000000000004
845,CC1(C)CC11OC2CC12,-0.2223,1.4957
846,CC1(Cc2n1ncn2)C,-0.2498,4.0321
847,c1c(cn[nH]1)C(F)(F)F,-0.2699,3.0132
848,C1OCC11C2OC=NC12,-0.2443,1.7057
849,CCOC1CCC2NC12,-0.2294,1.7335
850,CCC1(O)CNC1C=O,-0.2365,1.7268
851,CCCC(CO)OC,-0.2492,2.117
852,O=C1CC2OC=NC12,-0.2459,3.1689999999999996
853,N#CC12CCC1=CCO2,-0.2573,4.6989
854,CC1OCC2(O)C(O)C12,-0.23199999999999998,0.8824
855,c1c(c([nH]c1N)CO)N,-0.1646,2.5893
856,O=CC12C3CC1COC23,-0.2413,2.2946
857,CN=C1NN=C(F)C=N1,-0.218,0.8799
858,CC1C2CCC(=O)C12,-0.2328,3.2255
859,CC1C2C3NC3C12O,-0.2062,1.0837
860,CCC(C)CC(C)=NO,-0.2383,0.6878
861,c1c2c(n[nH]1)nno2,-0.2536,4.7699
862,C1NC2COC1OC2,-0.2216,1.8754
863,CC12CC1OC(=N)OC2,-0.2405,4.6431
864,CC1C(=O)OCC11CN1,-0.2569,3.4355
865,CC1CC2(CN2)C(=O)N1,-0.2326,4.9351
866,c1c(c2n(c1N)CC2)O,-0.1611,2.0342
867,OC1CC2(CC12)C1CO1,-0.2483,2.6434
868,C#CC1(CC1)C2CCC2,-0.2391,0.6575
869,CN=C1NN=NNC1=N,-0.2371,1.3589
870,O=C1C=CCC2CC1O2,-0.2363,3.9786
871,NC12C(OC1=O)C2C#C,-0.251,3.1639
872,COC(=O)C(C)C1CO1,-0.2647,2.2487
873,CC12CC3C(O)C3C1O2,-0.2306,3.2958
874,N=C1NC(=O)NC2CC12,-0.2497,2.4372
875,OCC1(O)CC=CC1=O,-0.2373,3.5537
876,C1C2(N1CC=O)COC2,-0.2508,1.4449
877,OCC(=O)C1(CO1)C#C,-0.2705,2.6458
878,CCC1CC11CC2OC12,-0.2459,1.7478
879,C1C(CO1)(CCO)O,-0.2528,1.94
880,CC1(C(N1C)(C)C)C,-0.2103,1.1175
881,CC#CC(=N)OC(C)C,-0.2484,2.0694
882,C#CC1=C(CCC1)C=O,-0.2445,3.3507
883,CC1C=CN2N=CN=C12,-0.2351,3.2848
884,OC1CCC2C1OC2=O,-0.2707,4.099
885,OCC1NC1C(=O)C=O,-0.2541,1.7628
886,CC(C)C#CC(O)C=O,-0.2533,2.7302
887,CC12CC(CC1O)O2,-0.2402,1.6836
888,CC12C3CC1OC23,-0.2255,1.9418
889,CCCCC1CC1(C)O,-0.245,1.2722
890,COC(CO)C1NC1C,-0.2346,2.9331
891,CCC1C2(O)CC1(O)C2,-0.2436,2.3833
892,CC1CCN=CO1,-0.2445,2.3425
893,OC1C2CC3COC3C12,-0.2322,3.0569
894,OCC1(C#N)C2CNC12,-0.2518,5.7543
895,CC1CC2=CCOCC12,-0.2329,1.5129
896,CN1CCNCC(=O)C1,-0.2148,2.9121
897,CN(C)c1nc(no1)O,-0.2204,4.7986
898,Cc1cc(co1)C(=O)C,-0.2307,2.7471
899,CN1CC(C#N)C1C#N,-0.2597,6.7957
900,CC(C)C1CC2CC12O,-0.2423,1.1654
901,CC1=CN=C(F)C(=N)O1,-0.2317,2.6385
902,CC12C3CC1COC23,-0.2219,1.7372
903,c1cnc(cn1)OC=O,-0.2676,3.2807
904,CC12CN1C(C)(C2)C=O,-0.24,2.6835
905,CC12CC1OC2(C)C=O,-0.2352,3.4336
906,CC#CCCC(C)(C)C,-0.2385,0.1612
907,C1C2CCOC12,-0.2271,1.3987
908,CCC(O)C1=COC=C1,-0.2237,1.5066
909,CC#CCC1OC1C=O,-0.2559,2.9130000000000003
910,COC1C(C)C1O,-0.2271,1.8025
911,CC#CC1CC2(C)CN12,-0.2245,1.7319
912,C#CC1CCCOC=N1,-0.2491,2.582
913,COC1(CC1C)C1CN1,-0.2399,1.3857
914,CC#Cc1[nH]c(=O)on1,-0.2506,6.7273
915,C1NC11C2COC1CO2,-0.2402,1.7165
916,C#CCOCCO,-0.2646,2.0413
917,CC(=O)COC(=O)C,-0.2532,2.6010000000000004
918,CC12CN1CCCC2O,-0.2166,2.202
919,ON=C1CC2(CN2)C1O,-0.2473,2.1462
920,CC(OC(C)(C)C)C=O,-0.2385,2.2823
921,COCCc1ccc[nH]1,-0.1975,1.9361
922,COCC(CO)C=O,-0.2537,3.7254
923,c1coc2c1COC=N2,-0.201,2.5589
924,CCC(O)C12CC(C1)O2,-0.2433,2.0557
925,CC1CNC2=CNC=C12,-0.1707,1.4734
926,CCOC(=N)C(O)C=O,-0.2683,2.4077
927,O=CNCC1COC1=O,-0.2605,1.9526
928,Cc1ccnc(n1)O,-0.2515,2.2668
929,COCCC(CO)CO,-0.247,2.3574
930,C(C(=N)NC=O)OC=O,-0.2664,1.8953
931,CC1CC2=COC=C2O1,-0.2045,2.1742
932,c1cc(c(c(c1)F)N)O,-0.1953,2.1832
933,CC1OC2(CC1C2)C#C,-0.2377,1.7846
934,CC1(CCNC(=O)C1)C,-0.2333,3.8529
935,CC12COC34CC(C13)C24,-0.2286,1.545
936,C1CC12CC3(C2)CO3,-0.2579,1.7668
937,CC1=CC(=N)OC1(C)C,-0.2359,4.0277
938,O=CC1CCCC2OC12,-0.2457,3.2151
939,CC1OC(C)(C)C11CN1,-0.2393,1.6685
940,CC12CCC1(O2)C(N)=O,-0.2485,2.5496
941,NC1(C2CC1[NH2+]2)C([O-])=O,-0.245,5.1588
942,CC1CC2CC2C(=O)C1,-0.2307,3.3375
943,CCC1=CCCC1=NO,-0.2142,0.8078
944,CC1CC2CC(=O)N12,-0.2354,3.5406
945,CN(C)C(C)(C=O)C#N,-0.2414,3.8297
946,C1OC2C11OC22COC12,-0.2314,2.9525
947,OCC(O)COC=N,-0.2631,3.7552
948,COC1C2COC(=N)C12,-0.2436,2.6106
949,CC1CC2(C)OC1C2=O,-0.2424,2.5403
950,COC1CCC2(C)CC12,-0.2415,1.1294
951,CC1C2OC2(C)C1=NO,-0.2469,1.7072
952,CC1(C)C2CC1(O2)C#C,-0.2393,1.9465
953,C#CCc1cncnc1,-0.2511,2.3954
954,O=CN1C=NC2CC1C2,-0.24600000000000002,4.0504
955,CC12CC1(C)OC(=N)O2,-0.2409,4.4724
956,N=C1CCC2CC(C2)O1,-0.2498,3.1622
957,COC(C)C#CC(C)=O,-0.2579,3.1366
958,COC1CNC(=O)C1O,-0.2479,3.412
959,OC1C2NC(=O)C12C=O,-0.2571,2.5491
960,CN(C)C1(COC1)CO,-0.2263,2.91
961,CC1N2CC2CC1(C)O,-0.2248,2.5052
962,Cc1cnc(nc1F)N,-0.225,1.1716
963,CC(=O)C12CC(C1)C2=O,-0.2425,2.9676
964,CC12CC3(O)C1C(O)C23,-0.2502,0.4558
965,COCC(=NO)CCO,-0.2508,2.1519999999999997
966,CC1C(C)C1C1(C)CO1,-0.2523,1.9613
967,CCCC(=N)OCC#N,-0.2865,2.1803
968,C(#N)c1nc(=O)[nH]nn1,-0.2945,3.88
969,CC1CC(C)C2(C)CC12,-0.2523,0.2629
970,CNc1c(cn[nH]1)OC,-0.1905,2.1763
971,CCOC=NCC1CN1,-0.2449,1.504
972,Cc1c[nH]c(=O)n1C=O,-0.2138,6.5065
973,CC1CC2C3CC3C2=C1,-0.2198,0.4231
974,N=C1CNC(=O)CO1,-0.2539,1.6989
975,O=CC1CC=CC1C=O,-0.2378,4.2415
976,CCCC(C)CCOC,-0.2492,1.0295
977,CC1CC1(C)C1(C)CC1,-0.2472,0.1675
978,Cc1cc(nc(=O)o1)F,-0.2678,5.8801
